CaseId,SystemName,RelationshipType,SourceName,SourceType,TargetName,TargetType,Extension
47,Airport Management System,association,ATC,actor,Alert During Conflict,usecase,
47,Airport Management System,association,ATC,actor,Prevent Conflict,usecase,
47,Airport Management System,association,ATC,actor,Plan Mission,usecase,
47,Airport Management System,extend,Alert During Conflict,usecase,Prevent Conflict,usecase,When Conflict Occurs
48,Monitoring System,association,Operator,actor,Perform Autonomous Monitoring,usecase,
48,Monitoring System,association,Advanced Operator,actor,Setup Track,usecase,
48,Monitoring System,association,Advanced Operator,actor,Perform Manual Monitoring,usecase,
48,Monitoring System,association,Intruder,actor,Monitor Environment,usecase,
48,Monitoring System,association,Supervisor,actor,Handle Camera Fault,usecase,
48,Monitoring System,extend,Handle Camera Fault,usecase,Monitor Environment,usecase,When Fault is Detected
48,Monitoring System,generalization,Perform Autonomous Monitoring,usecase,Monitor Environment,usecase,
48,Monitoring System,generalization,Perform Manual Monitoring,usecase,Monitor Environment,usecase,
48,Monitoring System,include,Monitor Environment,usecase,Initialize System,usecase,
48,Monitoring System,include,Monitor Environment,usecase,Terminate System,usecase,
49,Missile System,association,Launch Station,actor,Engage Target,usecase,
49,Missile System,association,Launch Station,actor,Launch Missile,usecase,
49,Missile System,association,Launch Station,actor,Execute Failed Launch Procedure,usecase,
49,Missile System,extend,Execute Failed Launch Procedure,usecase,Launch Missile,usecase,When Missile Launch Fails
49,Missile System,include,Launch Missile,usecase,Trigger Test,usecase,
